bathrooms,bedrooms,city,country,currency,daysOnZillow,homeStatus,homeStatusForHDP,homeType,isFeatured,isNonOwnerOccupied,isPreforeclosureAuction,isPremierBuilder,isShowcaseListing,isUnmappable,isZillowOwned,latitude,listing_sub_type,livingArea,longitude,lotAreaUnit,lotAreaValue,price,priceForHDP,rentZestimate,shouldHighlight,state,streetAddress,unit,zestimate,zipcode,zpid,newConstructionType,taxRate,taxAssessedValue
2,3,San Jose,USA,USD,0,FOR_SALE,FOR_SALE,SINGLE_FAMILY,False,True,False,False,False,False,False,37.25975,{'is_FSBA': True},1358,-121.81172,sqft,7113,1198888,1198888,3843,False,CA,5266 Broken Lance Ct,Not Available,1262100,95136,19816949,Not Available,0.71,851210.48
1,0,San Jose,USA,USD,-1,FOR_SALE,FOR_SALE,CONDO,False,True,False,False,False,False,False,37.31251,"{'is_FSBA': True, 'is_openHouse': True}",468,-121.87918,Not Available,Not Available,425000,425000,0,False,CA,260 Stonegate Cir #31,# 31,0,95110,2056952388,Not Available,0.71,301750.0
1,1,San Jose,USA,USD,0,FOR_SALE,FOR_SALE,SINGLE_FAMILY,False,True,False,False,False,False,False,37.361507,{'is_FSBA': True},688,-121.83877,sqft,6262,600000,600000,2159,False,CA,13 Alexander Ave,Not Available,604300,95116,19721731,Not Available,0.71,426000.0
2,4,San Jose,USA,USD,0,FOR_SALE,FOR_SALE,SINGLE_FAMILY,False,True,False,False,False,False,False,37.29809,{'is_FSBA': True},1778,-122.01533,sqft,6327,1999950,1999950,5228,False,CA,1439 Miller Ave,Not Available,2095700,95129,19642277,Not Available,0.71,1419964.5
0,0,San Jose,USA,USD,-1,FOR_SALE,FOR_SALE,MULTI_FAMILY,False,True,False,False,False,False,False,37.296215,"{'is_FSBA': True, 'is_openHouse': True}",3688,-121.953766,sqft,6621.12,1700000,1700000,0,False,CA,3231 Impala Dr,Not Available,0,95117,300475424,Not Available,0.71,1207000.0
5,5,San Jose,USA,USD,-1,FOR_SALE,FOR_SALE,SINGLE_FAMILY,False,True,False,False,False,False,False,37.305485,"{'is_FSBA': True, 'is_openHouse': True}",3795,-121.90164,sqft,8213,4198000,4198000,6928,False,CA,1240 Coolidge Ave,Not Available,4243600,95125,19680725,Not Available,0.71,2980580.0
3,3,San Jose,USA,USD,-1,FOR_SALE,FOR_SALE,SINGLE_FAMILY,False,True,False,False,False,False,False,37.3141,"{'is_newHome': True, 'is_openHouse': True}",1454,-121.879585,sqft,3021,1050000,1050000,3949,False,CA,236 Floyd St,Not Available,1055900,95110,243212652,BUILDER_SPEC,0.71,745500.0
3,5,San Jose,USA,USD,-1,FOR_SALE,FOR_SALE,SINGLE_FAMILY,False,True,False,False,False,False,False,37.38923,{'is_FSBA': True},2449,-121.86885,sqft,6098.4,1899000,1899000,4947,False,CA,2271 Woodranch Rd,Not Available,2050500,95131,19564941,Not Available,0.71,1348290.0
2,4,San Jose,USA,USD,-1,FOR_SALE,FOR_SALE,SINGLE_FAMILY,False,True,False,False,False,False,False,37.29827,"{'is_FSBA': True, 'is_openHouse': True}",1999,-122.0209,sqft,7360,2888888,2888888,5764,False,CA,1415 Glenmoor Way,Not Available,3100100,95129,19642764,Not Available,0.71,2051110.48
3,2,San Jose,USA,USD,-1,FOR_SALE,FOR_SALE,CONDO,False,True,False,True,False,False,False,37.24174,"{'is_newHome': True, 'is_openHouse': True}",1690,-121.7864,Not Available,Not Available,1158900,1158900,3569,False,CA,"Plan 5 Plan, Lotus at UrbanOak",# P911OM,1174700,95123,2062282045,BUILDER_PLAN,0.71,822819.0
2,3,San Jose,USA,USD,2,FOR_SALE,FOR_SALE,SINGLE_FAMILY,False,True,False,False,False,False,False,37.30388,{'is_FSBA': True},1557,-121.96737,sqft,6017,1638000,1638000,4300,False,CA,3768 Woodcreek Ln,Not Available,1764100,95117,19603981,Not Available,0.71,1162980.0
2,2,San Jose,USA,USD,2,FOR_SALE,FOR_SALE,MANUFACTURED,False,True,False,False,False,False,False,0.0,{'is_FSBA': True},1440,0.0,Not Available,Not Available,389000,389000,2652,False,CA,477 SW Chateau La Salle Dr #477,# 477,348700,95111,2060762613,Not Available,0.71,276190.0
3,4,San Jose,USA,USD,2,FOR_SALE,FOR_SALE,SINGLE_FAMILY,False,True,False,False,False,False,False,37.23319,{'is_FSBA': True},2024,-121.88755,sqft,9962,1995000,1995000,4828,False,CA,1417 Beattie Ct,Not Available,2081700,95120,19764096,Not Available,0.71,1416450.0
2,2,San Jose,USA,USD,2,FOR_SALE,FOR_SALE,CONDO,False,True,False,False,False,False,False,37.28367,{'is_FSBA': True},999,-121.83511,Not Available,Not Available,499000,499000,2470,False,CA,3819 Seven Trees Blvd #305,# 305,573000,95111,19736347,Not Available,0.71,354290.0
3,4,San Jose,USA,USD,2,FOR_SALE,FOR_SALE,SINGLE_FAMILY,False,True,False,False,False,False,False,37.241886,{'is_FSBA': True},1653,-121.761284,sqft,2716,1799999,1799999,3834,False,CA,504 Chelsea Xing,Not Available,1843100,95138,19811287,Not Available,0.71,1277999.29
2,4,San Jose,USA,USD,2,FOR_SALE,FOR_SALE,SINGLE_FAMILY,False,True,False,False,False,False,False,37.399883,{'is_FSBA': True},1234,-121.878845,sqft,5624,1050000,1050000,2214,False,CA,1782 Ridgetree Way,Not Available,973000,95131,19562371,Not Available,0.71,745500.0
3,3,San Jose,USA,USD,2,FOR_SALE,FOR_SALE,TOWNHOUSE,False,True,False,False,False,False,False,37.304432,{'is_FSBA': True},1470,-121.917274,sqft,1438,949950,949950,3949,False,CA,1335 Arbor Park Ct,Not Available,963500,95126,19591740,Not Available,0.71,674464.5
2,4,San Jose,USA,USD,2,FOR_SALE,FOR_SALE,SINGLE_FAMILY,False,True,False,False,False,False,False,37.24689,{'is_FSBA': True},1476,-121.904,sqft,6712,1498000,1498000,4300,False,CA,1601 Dell Ct,Not Available,1529300,95118,19758015,Not Available,0.71,1063580.0
2,2,San Jose,USA,USD,2,FOR_SALE,FOR_SALE,CONDO,False,True,False,False,False,False,False,37.28527,{'is_FSBA': True},1516,-121.75562,Not Available,Not Available,799000,799000,3599,False,CA,6309 Blauer Ln,Not Available,813600,95135,19798168,Not Available,0.71,567290.0
2,3,San Jose,USA,USD,2,FOR_SALE,FOR_SALE,CONDO,False,True,False,False,False,False,False,37.360386,{'is_FSBA': True},1180,-121.85094,sqft,902,649000,649000,3300,False,CA,2134 Amstel Ct,Not Available,690000,95116,19720517,Not Available,0.71,460790.0
2,3,San Jose,USA,USD,-1,FOR_SALE,FOR_SALE,SINGLE_FAMILY,False,True,False,False,False,False,False,37.295097,"{'is_FSBA': True, 'is_openHouse': True}",1654,-121.896225,sqft,7335,1500000,1500000,4349,False,CA,1240 Laurie Ave,Not Available,1516000,95125,19685118,Not Available,0.71,1065000.0
3,5,San Jose,USA,USD,3,FOR_SALE,FOR_SALE,SINGLE_FAMILY,False,True,False,False,False,False,False,37.368893,{'is_FSBA': True},2460,-121.82904,sqft,9955,1290000,1290000,5500,False,CA,121 Talmadge Ave,Not Available,1341300,95127,19780648,Not Available,0.71,915900.0
3,4,San Jose,USA,USD,3,FOR_SALE,FOR_SALE,SINGLE_FAMILY,False,True,False,False,False,False,False,37.260242,{'is_FSBA': True},2066,-121.90335,sqft,8249,1898000,1898000,5139,False,CA,4078 Shona Ct,Not Available,2037800,95124,19698158,Not Available,0.71,1347580.0
2,3,San Jose,USA,USD,3,FOR_SALE,FOR_SALE,SINGLE_FAMILY,False,True,False,False,False,False,False,37.309277,{'is_FSBA': True},1398,-121.98166,sqft,6500,1500000,1500000,4300,False,CA,982 Pinewood Dr,Not Available,1626800,95129,19648987,Not Available,0.71,1065000.0
3,4,San Jose,USA,USD,3,FOR_SALE,FOR_SALE,SINGLE_FAMILY,False,True,False,False,False,False,False,37.341278,{'is_FSBA': True},2078,-121.80923,sqft,6588,1199999,1199999,4700,False,CA,2030 Cove Ct,Not Available,1266400,95148,19730975,Not Available,0.71,851999.2899999999
1,3,San Jose,USA,USD,3,FOR_SALE,FOR_SALE,SINGLE_FAMILY,False,True,False,False,False,False,False,37.314026,{'is_FSBA': True},1193,-121.90081,sqft,5563,1688000,1688000,2065,False,CA,769 Coe Ave,Not Available,1161800,95125,19578406,Not Available,0.71,1198480.0
3,3,San Jose,USA,USD,3,FOR_SALE,FOR_SALE,TOWNHOUSE,False,True,False,False,False,False,False,37.340504,{'is_FSBA': True},1635,-121.89661,sqft,820,1199000,1199000,4165,False,CA,211 Proximity Way,Not Available,1217700,95110,325806113,Not Available,0.71,851290.0
2,4,San Jose,USA,USD,3,FOR_SALE,FOR_SALE,SINGLE_FAMILY,False,True,False,False,False,False,False,37.299202,{'is_FSBA': True},1897,-121.89102,sqft,4860,1800000,1800000,5069,False,CA,1012 Pine Ave,Not Available,1876600,95125,19685691,Not Available,0.71,1278000.0
